CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0.016675
CPU	 9	 0
CPU	 11	 0.016675
CPU	 13	 0
CPU	 15	 0.01665
CPU	 17	 0
CPU	 19	 0.016675
CPU	 21	 0.016675
CPU	 23	 0.01665
CPU	 25	 0.016675
CPU	 27	 0.016675
CPU	 29	 0.01665
CPU	 31	 0.016675
CPU	 33	 0.016675
CPU	 35	 0.01665
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0
CPU	 47	 0.016675
CPU	 49	 0
CPU	 51	 0.016675
CPU	 53	 0.01665
CPU	 55	 0.016675
CPU	 57	 0
CPU	 59	 0.016675
CPU	 61	 0.016675
CPU	 63	 0
CPU	 65	 0
CPU	 67	 0.01665
CPU	 69	 0.016675
CPU	 71	 0.016675
CPU	 73	 0.01665
CPU	 75	 0.016675
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0.016675
CPU	 83	 0
CPU	 85	 0.016675
CPU	 87	 0.01665
CPU	 89	 0.01665
CPU	 91	 0.016675
CPU	 93	 0
CPU	 95	 0.016675
CPU	 97	 0.016675
CPU	 99	 0.016675
IO	 0	 1043.27
IO	 2	 1043.33
IO	 4	 1043.37
IO	 6	 1043.4
IO	 8	 1043.43
IO	 10	 1043.47
IO	 12	 1043.48
IO	 14	 1043.52
IO	 16	 1043.53
IO	 18	 1043.57
IO	 20	 1043.58
IO	 22	 1043.6
IO	 24	 1043.62
IO	 26	 1043.62
IO	 28	 1043.65
IO	 30	 1043.65
IO	 32	 1043.67
IO	 34	 1043.67
IO	 36	 1043.68
IO	 38	 1043.7
IO	 40	 1043.68
IO	 42	 1043.7
IO	 44	 1043.7
IO	 46	 1043.68
IO	 48	 1043.68
IO	 50	 1043.68
IO	 52	 1043.67
IO	 54	 1043.67
IO	 56	 1043.67
IO	 58	 1043.63
IO	 60	 1043.65
IO	 62	 1043.62
IO	 64	 1043.6
IO	 66	 1043.58
IO	 68	 1043.58
IO	 70	 1043.55
IO	 72	 1043.53
IO	 74	 1043.52
IO	 76	 1043.48
IO	 78	 1043.47
IO	 80	 1043.42
IO	 82	 1043.4
IO	 84	 1043.37
IO	 86	 1043.33
IO	 88	 1043.3
IO	 90	 1043.27
IO	 92	 1043.22
IO	 94	 1043.18
IO	 96	 1043.13
IO	 98	 1043.1
